AAS,Ethnic Studies,Immigration and Diaspora,Asian American Literature,Race and Ethnicity,Social Justice Movements,Cultural Identity
ABE,Precision Agriculture,Bioprocess Engineering,Environmental Sustainability,Renewable Energy,Agricultural Robotics,Food Safety Engineering
ACCY,Auditing and Assurance,Financial Reporting,Taxation,Forensic Accounting,Managerial Accounting,Accounting Information Systems
ACE,Agribusiness Management,Environmental and Resource Economics,International Trade,Food Marketing and Distribution,Consumer Economics,Rural Development
ACES,Food Security,Sustainable Agriculture,Human Nutrition,Community Development,Environmental Policy,Agricultural Economics
ADV,Digital Media Strategy,Consumer Psychology,Brand Management,Social Media Marketing,Creative Advertising,Advertising Ethics
AE,Aerodynamics,Propulsion Systems,Spacecraft Design,Avionics,Flight Mechanics,Aircraft Structures
AFAS,Leadership and Management,National Security Studies,Military History,Aerospace Strategy,Cyber Warfare,Aviation Science
AFRO,African American Literature,Civil Rights Movement,Black Feminist Thought,African Diaspora,Race and Media,Black Political Thought
AFST,African Politics,African Literature,Development Economics,African History,Health in Africa,Anthropology of Africa
AGCM,Science Communication,Media Production,Public Relations in Agriculture,Digital Communication Strategies,Agricultural Journalism,Marketing for Agriculture
AGED,Curriculum Development in Agriculture,Leadership in Agricultural Education,Educational Technology in Agriculture,Teaching Methods in Agriculture,Youth Development in Agriculture,Agricultural Extension Education
AHS,Health Informatics,Public Health,Rehabilitation Sciences,Kinesiology,Health Policy,Gerontology
AIS,Indigenous Sovereignty,Native American History,Indigenous Literature,Tribal Governance,Environmental Justice,Native Languages Revitalization
ALEC,Leadership Theory in Agriculture,Agricultural Advocacy,Community Engagement in Agriculture,Agricultural Policy and Law,Education Technology in Agriculture,Strategic Communication in Agriculture
ANSC,Animal Genetics,Nutrition and Feed Science,Animal Welfare and Ethics,Reproductive Physiology,Veterinary Science,Livestock Production Systems
ANTH,Cultural Anthropology,Archaeology,Biological Anthropology,Linguistic Anthropology,Medical Anthropology,Environmental Anthropology
ARAB,Modern Standard Arabic,Arabic Literature,Middle Eastern Politics,Islamic Studies,Arabic Calligraphy,Arabic Media
ARCH,Sustainable Architecture,Urban Design,Architectural History,Building Information Modeling (BIM),Interior Design,Landscape Architecture
ART,Fine Arts,Art History,Visual Arts,Printmaking,Sculpture,Art Theory and Criticism
ARTD,Graphic Design,User Experience Design,Typography,Motion Graphics,Web Design,Packaging Design
ARTE,Art Pedagogy,Curriculum Development in Art,Art Therapy,Visual Literacy,Community Art Education,Art Assessment Techniques
ARTF,Drawing Fundamentals,2D Design,3D Design,Color Theory,Visual Communication,Creative Processes
ARTH,Renaissance Art,Modern Art,Art Criticism,Museum Studies,Non-Western Art,Art and Society
ARTJ,Japanese Aesthetics,Tea Ceremony,Japanese Gardens,Traditional Japanese Arts,Zen Buddhism and Art,Ikebana (Flower Arranging)
ARTS,Painting,Photography,Ceramics,Printmaking,Sculpture,Installation Art
ASRM,Financial Mathematics,Risk Analysis,Insurance Modeling,Pension Planning,Investment Strategies,Actuarial Data Science
ASST,East Asian History,Southeast Asian Culture,Asian Religions,Asian Political Systems,Asian Art and Literature,Asian Economic Development
ASTR,Astrophysics,Cosmology,Planetary Science,Stellar Evolution,Galactic Dynamics,Exoplanet Research
ATMS,Meteorology,Climate Change,Weather Prediction,Atmospheric Chemistry,Severe Weather Analysis,Remote Sensing
BADM,Strategic Management,Organizational Behavior,International Business,Entrepreneurship,Supply Chain Management,Business Analytics
BASQ,Basque Language,Basque History,Basque Literature,Basque Nationalism,Basque Folklore,Basque Culinary Arts
BCOG,Cognitive Neuroscience,Perception and Attention,Memory and Learning,Decision Making,Computational Neuroscience,Neuroimaging Techniques
BCS,Slavic Linguistics,Balkan History,Bosnian-Croatian-Serbian Literature,Post-Yugoslav Studies,Comparative Slavic Studies,Translation Studies
BDI,Data-Driven Decision Making,Innovation Management,Predictive Analytics,Data Visualization,Market Research,Business Intelligence
BIOC,Enzyme Kinetics,Molecular Genetics,Structural Biology,Metabolic Pathways,Protein Engineering,Drug Design
BIOE,Tissue Engineering,Biomedical Imaging,Biomechanics,Synthetic Biology,Bioinformatics,Medical Device Design
BIOP,Molecular Biophysics,Structural Biology,Computational Biophysics,Spectroscopy,Cellular Biophysics,Neurobiophysics
BSE,Biomedical Instrumentation,Medical Imaging,Biomechanics,Biomaterials,Clinical Engineering,Regenerative Medicine
BTW,Technical Communication,Proposal Writing,Digital Content Strategy,User Documentation,Professional Editing,Business Writing Ethics
BUS,Business Strategy,Marketing Management,Corporate Finance,International Business,Business Ethics,Management Information Systems
CB,Molecular Pathology,Comparative Genetics,Toxicology,Stem Cell Biology,Veterinary Medicine,Comparative Physiology
CDB,Stem Cell Research,Developmental Genetics,Cell Signaling,Tissue Morphogenesis,Cellular Aging,Cancer Biology
CEE,Structural Engineering,Environmental Engineering,Transportation Systems,Water Resources Engineering,Geotechnical Engineering,Sustainable Infrastructure
CHBE,Process Engineering,Catalysis and Reaction Engineering,Biomolecular Engineering,Energy Systems Engineering,Nanotechnology,Polymers and Materials Science
CHEM,Organic Synthesis,Analytical Chemistry,Physical Chemistry,Inorganic Chemistry,Chemical Biology,Environmental Chemistry
CHIN,Chinese Language,Classical Chinese Literature,Modern Chinese Literature,Chinese Politics,Chinese Philosophy,Chinese Film and Media
CHP,Interdisciplinary Studies,Global Challenges,Advanced Research Methods,Leadership and Ethics,Honors Seminars,Civic Engagement
CI,Curriculum Design,Instructional Strategies,Educational Technology,Assessment and Evaluation,Teacher Education,Classroom Management
CIC,Inter-Institutional Collaboration,Research Initiatives,Shared Academic Resources,Course Development,Distance Education,Faculty Development
CLCV,Ancient Greek and Roman History,Classical Mythology,Latin Literature,Archaeology of the Classical World,Ancient Philosophy,Classical Art and Architecture
CLE,Clinical Engineering,Biomedical Technology,Patient Safety,Regulatory Compliance,Healthcare Innovation,Medical Device Development
CMN,Interpersonal Communication,Public Speaking,Organizational Communication,Communication Theory,Media Studies,Persuasion Techniques
CPSC,Crop Genetics,Plant Pathology,Sustainable Agriculture,Weed Science,Agronomy,Soil Science
